,Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,afterSplit
167,1981-08-12,0.107701,0.107701,0.107143,0.107143,0.083373,26275200,0.000536,1.0,0.107143
168,1981-08-13,0.104353,0.104353,0.103795,0.103795,0.080768,27484800,0.000536,1.0,0.103795
169,1981-08-14,0.103237,0.103237,0.102121,0.102121,0.079465,24192000,0.000536,1.0,0.102121
170,1981-08-17,0.099888,0.099888,0.098772,0.098772,0.076859,18905600,0.000536,1.0,0.098772
171,1981-08-18,0.097656,0.097656,0.09654,0.09654,0.075122,17001600,0.000536,1.0,0.09654
172,1981-08-19,0.09654,0.09654,0.095424,0.095424,0.074254,20675200,0.000536,1.0,0.095424
173,1981-08-20,0.09654,0.097098,0.09654,0.09654,0.075122,17113600,0.000536,1.0,0.09654
174,1981-08-21,0.09096,0.09096,0.089844,0.089844,0.069912,41910400,0.000536,1.0,0.089844
175,1981-08-24,0.084821,0.084821,0.084263,0.084263,0.065569,23072000,0.000536,1.0,0.084263
176,1981-08-25,0.086496,0.087054,0.086496,0.086496,0.067307,40700800,0.000536,1.0,0.086496
177,1981-08-26,0.085379,0.085379,0.084821,0.084821,0.066003,33600000,0.000536,1.0,0.084821
178,1981-08-27,0.085379,0.085938,0.085379,0.085379,0.066438,25916800,0.000536,1.0,0.085379
179,1981-08-28,0.089844,0.090402,0.089844,0.089844,0.069912,38035200,0.000536,1.0,0.089844
180,1981-08-31,0.089844,0.090402,0.089844,0.089844,0.069912,40947200,0.000536,1.0,0.089844
181,1981-09-01,0.095424,0.095982,0.095424,0.095424,0.074254,37027200,0.000536,1.0,0.095424
182,1981-09-02,0.097098,0.097656,0.097098,0.097098,0.075557,19376000,0.000536,1.0,0.097098
183,1981-09-03,0.093192,0.093192,0.092076,0.092076,0.071649,37475200,0.000536,1.0,0.092076
184,1981-09-04,0.091518,0.091518,0.09096,0.09096,0.07078,15254400,0.000536,1.0,0.09096
185,1981-09-08,0.088728,0.088728,0.08817,0.08817,0.068609,25446400,0.000536,1.0,0.08817
186,1981-09-09,0.08817,0.088728,0.08817,0.08817,0.068609,30531200,0.000536,1.0,0.08817
187,1981-09-10,0.088728,0.089286,0.088728,0.088728,0.069044,34809600,0.000536,1.0,0.088728
188,1981-09-11,0.08817,0.08817,0.087612,0.087612,0.068175,17539200,0.000536,1.0,0.087612
189,1981-09-14,0.085379,0.085379,0.084821,0.084821,0.066003,27686400,0.000536,1.0,0.084821
190,1981-09-15,0.083147,0.083147,0.082589,0.082589,0.064267,19510400,0.000536,1.0,0.082589
191,1981-09-16,0.081473,0.081473,0.080915,0.080915,0.062964,19353600,0.000536,1.0,0.080915
192,1981-09-17,0.079241,0.079241,0.078683,0.078683,0.061227,19376000,0.000536,1.0,0.078683
193,1981-09-18,0.079241,0.079799,0.079241,0.079241,0.061661,26320000,0.000536,1.0,0.079241
194,1981-09-21,0.079799,0.080357,0.079799,0.079799,0.062095,49033600,0.000536,1.0,0.079799
195,1981-09-22,0.075893,0.075893,0.075335,0.075335,0.058622,47420800,0.000536,1.0,0.075335
196,1981-09-23,0.074777,0.074777,0.073661,0.073661,0.057319,28201600,0.000536,1.0,0.073661
197,1981-09-24,0.073661,0.073661,0.073103,0.073103,0.056885,18300800,0.000536,1.0,0.073103
198,1981-09-25,0.064732,0.064732,0.063616,0.063616,0.049503,34608000,0.000536,1.0,0.063616
199,1981-09-28,0.064174,0.064732,0.064174,0.064174,0.049937,91728000,0.000536,1.0,0.064174
200,1981-09-29,0.067522,0.06808,0.067522,0.067522,0.052542,94684800,0.000536,1.0,0.067522
201,1981-09-30,0.06808,0.068638,0.06808,0.06808,0.052976,49996800,0.000536,1.0,0.06808
202,1981-10-01,0.06808,0.068638,0.06808,0.06808,0.052976,61129600,0.000536,1.0,0.06808
203,1981-10-02,0.073661,0.074219,0.073661,0.073661,0.057319,45046400,0.000536,1.0,0.073661
204,1981-10-05,0.075893,0.077009,0.075893,0.075893,0.059056,43097600,0.000536,1.0,0.075893
205,1981-10-06,0.075893,0.075893,0.075335,0.075335,0.058622,28358400,0.000536,1.0,0.075335
206,1981-10-07,0.079799,0.080915,0.079799,0.079799,0.062095,38841600,0.000536,1.0,0.079799
207,1981-10-08,0.082589,0.083147,0.082589,0.082589,0.064267,31091200,0.000536,1.0,0.082589
208,1981-10-09,0.083147,0.084263,0.083147,0.083147,0.064701,54521600,0.000536,1.0,0.083147
209,1981-10-12,0.085938,0.086496,0.085938,0.085938,0.066873,27350400,0.000536,1.0,0.085938
210,1981-10-13,0.085938,0.087054,0.085938,0.085938,0.066873,44195200,0.000536,1.0,0.085938
211,1981-10-14,0.081473,0.081473,0.080915,0.080915,0.062964,30979200,0.000536,1.0,0.080915
212,1981-10-15,0.082589,0.083147,0.082589,0.082589,0.064267,29433600,0.000536,1.0,0.082589
213,1981-10-16,0.082031,0.082031,0.081473,0.081473,0.063398,36467200,0.000536,1.0,0.081473
214,1981-10-19,0.083147,0.083705,0.083147,0.083147,0.064701,20585600,0.000536,1.0,0.083147
215,1981-10-20,0.087612,0.08817,0.087612,0.087612,0.068175,35728000,0.000536,1.0,0.087612
216,1981-10-21,0.087612,0.08817,0.087612,0.087612,0.068175,76899200,0.000536,1.0,0.087612
217,1981-10-22,0.087612,0.087612,0.087054,0.087054,0.067741,32278400,0.000536,1.0,0.087054
218,1981-10-23,0.085379,0.085379,0.084821,0.084821,0.066003,27910400,0.000536,1.0,0.084821
219,1981-10-26,0.084821,0.085379,0.084821,0.084821,0.066003,27283200,0.000536,1.0,0.084821
220,1981-10-27,0.086496,0.087612,0.086496,0.086496,0.067307,85590400,0.000536,1.0,0.086496
221,1981-10-28,0.089286,0.089844,0.089286,0.089286,0.069478,44172800,0.000536,1.0,0.089286
222,1981-10-29,0.088728,0.088728,0.08817,0.08817,0.068609,30486400,0.000536,1.0,0.08817
223,1981-10-30,0.089286,0.089844,0.089286,0.089286,0.069478,52729600,0.000536,1.0,0.089286
224,1981-11-02,0.089286,0.089844,0.089286,0.089286,0.069478,36915200,0.000536,1.0,0.089286
225,1981-11-03,0.088728,0.088728,0.08817,0.08817,0.068609,28380800,0.000536,1.0,0.08817
226,1981-11-04,0.086496,0.086496,0.085938,0.085938,0.066873,23811200,0.000536,1.0,0.085938
227,1981-11-05,0.080357,0.080357,0.079799,0.079799,0.062095,23363200,0.000536,1.0,0.079799
228,1981-11-06,0.080357,0.080915,0.080357,0.080357,0.06253,24595200,0.000536,1.0,0.080357
229,1981-11-09,0.081473,0.082031,0.081473,0.081473,0.063398,20384000,0.000536,1.0,0.081473
230,1981-11-10,0.082031,0.082589,0.082031,0.082031,0.063832,16755200,0.000536,1.0,0.082031
231,1981-11-11,0.084263,0.084821,0.084263,0.084263,0.065569,27440000,0.000536,1.0,0.084263
232,1981-11-12,0.087054,0.087612,0.087054,0.087054,0.067741,39916800,0.000536,1.0,0.087054
233,1981-11-13,0.081473,0.081473,0.080915,0.080915,0.062964,21011200,0.000536,1.0,0.080915
234,1981-11-16,0.080357,0.080357,0.079799,0.079799,0.062095,22556800,0.000536,1.0,0.079799
235,1981-11-17,0.081473,0.082031,0.081473,0.081473,0.063398,35414400,0.000536,1.0,0.081473
236,1981-11-18,0.084263,0.084821,0.084263,0.084263,0.065569,29142400,0.000536,1.0,0.084263
237,1981-11-19,0.084263,0.084821,0.084263,0.084263,0.065569,40006400,0.000536,1.0,0.084263
238,1981-11-20,0.084821,0.085379,0.084821,0.084821,0.066003,38102400,0.000536,1.0,0.084821
239,1981-11-23,0.082031,0.082031,0.080915,0.080915,0.062964,22960000,0.000536,1.0,0.080915
240,1981-11-24,0.080915,0.080915,0.080357,0.080357,0.06253,22153600,0.000536,1.0,0.080357
241,1981-11-25,0.082031,0.082589,0.082031,0.082031,0.063832,52550400,0.000536,1.0,0.082031
242,1981-11-27,0.084263,0.084821,0.084263,0.084263,0.065569,37251200,0.000536,1.0,0.084263
243,1981-11-30,0.083705,0.083705,0.083147,0.083147,0.064701,23968000,0.000536,1.0,0.083147
244,1981-12-01,0.083147,0.083705,0.083147,0.083147,0.064701,23385600,0.000536,1.0,0.083147
245,1981-12-02,0.083705,0.084263,0.083705,0.083705,0.065135,37564800,0.000536,1.0,0.083705
246,1981-12-03,0.083147,0.083147,0.082589,0.082589,0.064267,20428800,0.000536,1.0,0.082589
247,1981-12-04,0.084821,0.085379,0.084821,0.084821,0.066003,137155200,0.000536,1.0,0.084821
248,1981-12-07,0.085379,0.085938,0.085379,0.085379,0.066438,59292800,0.000536,1.0,0.085379
249,1981-12-08,0.084821,0.084821,0.083705,0.083705,0.065135,50624000,0.000536,1.0,0.083705
250,1981-12-09,0.084263,0.084821,0.084263,0.084263,0.065569,34272000,0.000536,1.0,0.084263
251,1981-12-10,0.084263,0.084821,0.084263,0.084263,0.065569,37408000,0.000536,1.0,0.084263
252,1981-12-11,0.084263,0.084821,0.083705,0.083705,0.065135,76092800,0.000536,1.0,0.083705
253,1981-12-14,0.082031,0.082031,0.080915,0.080915,0.062964,25244800,0.000536,1.0,0.080915
254,1981-12-15,0.083147,0.083705,0.083147,0.083147,0.064701,31315200,0.000536,1.0,0.083147
255,1981-12-16,0.087054,0.087612,0.087054,0.087054,0.067741,65452800,0.000536,1.0,0.087054
256,1981-12-17,0.094308,0.094866,0.094308,0.094308,0.073386,51452800,0.000536,1.0,0.094308
257,1981-12-18,0.102121,0.102679,0.102121,0.102121,0.079465,71724800,0.000536,1.0,0.102121
258,1981-12-21,0.098214,0.098214,0.097656,0.097656,0.075991,56403200,0.000536,1.0,0.097656
259,1981-12-22,0.09933,0.099888,0.09933,0.09933,0.077294,53827200,0.000536,1.0,0.09933
260,1981-12-23,0.097656,0.097656,0.097098,0.097098,0.075557,28896000,0.000536,1.0,0.097098
261,1981-12-24,0.097656,0.098214,0.097656,0.097656,0.075991,28918400,0.000536,1.0,0.097656
262,1981-12-28,0.094308,0.094308,0.093192,0.093192,0.072517,36579200,0.000536,1.0,0.093192
263,1981-12-29,0.094866,0.095982,0.094866,0.094866,0.07382,24236800,0.000536,1.0,0.094866
264,1981-12-30,0.098772,0.09933,0.098772,0.098772,0.076859,32188800,0.000536,1.0,0.098772
265,1981-12-31,0.098772,0.09933,0.098772,0.098772,0.076859,54656000,0.000536,1.0,0.098772
266,1982-01-04,0.098772,0.098772,0.098214,0.098214,0.076425,71254400,0.000536,1.0,0.098214
